caption,id,video_path
A man is speaking.,_o1UXSxTjfo_68_80.avi,./feature_dirs_training\_o1UXSxTjfo_68_80.avi.npy
A man cuts up onions.,m1NR0uNNs5Y_192_198.avi,./feature_dirs_training\m1NR0uNNs5Y_192_198.avi.npy
a baby picks up a phone.,kJY5BRCNAs4_3_6.avi,./feature_dirs_training\kJY5BRCNAs4_3_6.avi.npy
A animal is eating.,QqYWLR47eLI_10_18.avi,./feature_dirs_training\QqYWLR47eLI_10_18.avi.npy
A man is playing flute.,W8l_ezoU8Lc_76_86.avi,./feature_dirs_training\W8l_ezoU8Lc_76_86.avi.npy
A man is doing math on board.,s80J2dAUUyI_33_43.avi,./feature_dirs_training\s80J2dAUUyI_33_43.avi.npy
A train is going by.,-mAoVOhKy0c_4_9.avi,./feature_dirs_training\-mAoVOhKy0c_4_9.avi.npy
A woman is wrapping tofu.,IhwPQL9dFYc_24_30.avi,./feature_dirs_training\IhwPQL9dFYc_24_30.avi.npy
A dirt bike wreck.,nhm_APPwhWk_6_12.avi,./feature_dirs_training\nhm_APPwhWk_6_12.avi.npy
A dog is walking in the grass.,jcIrD7rNvTM_10_21.avi,./feature_dirs_training\jcIrD7rNvTM_10_21.avi.npy
A bird is dancing.,cJOZp2ZftCw_1_12.avi,./feature_dirs_training\cJOZp2ZftCw_1_12.avi.npy
A woman is cracking eggs.,0lh_UWF9ZP4_71_77.avi,./feature_dirs_training\0lh_UWF9ZP4_71_77.avi.npy
A girl is sliding.,zv2RIbUsnSw_159_162.avi,./feature_dirs_training\zv2RIbUsnSw_159_162.avi.npy
Women exit a taxi cab.,yd8jh9QYfEs_4_10.avi,./feature_dirs_training\yd8jh9QYfEs_4_10.avi.npy
Broccoli is being cooked.,PqSZ89FqpiY_65_75.avi,./feature_dirs_training\PqSZ89FqpiY_65_75.avi.npy
A cat paws a toddler.,Kxa0mnDj0bs_15_20.avi,./feature_dirs_training\Kxa0mnDj0bs_15_20.avi.npy
A man playing a guitar.,cLNrpO6wBk4_37_47.avi,./feature_dirs_training\cLNrpO6wBk4_37_47.avi.npy
A dog is playing on a sofa.,nV3Wv8iHp4U_0_38.avi,./feature_dirs_training\nV3Wv8iHp4U_0_38.avi.npy
Hamsters are eating.,kNHivduxQWg_0_14.avi,./feature_dirs_training\kNHivduxQWg_0_14.avi.npy
A man puts together a gun.,ACK7SekJWts_140_150.avi,./feature_dirs_training\ACK7SekJWts_140_150.avi.npy
A man plays a violin.,_QJbjKkfdcs_52_57.avi,./feature_dirs_training\_QJbjKkfdcs_52_57.avi.npy
A bear and wolves fight.,2jXxtQRy47A_30_38.avi,./feature_dirs_training\2jXxtQRy47A_30_38.avi.npy
A women preps a salmon meal.,QTAqjSbMkXU_65_75.avi,./feature_dirs_training\QTAqjSbMkXU_65_75.avi.npy
A person whisks.,PeUHy0A1GF0_28_32.avi,./feature_dirs_training\PeUHy0A1GF0_28_32.avi.npy
A woman slices fish.,0lh_UWF9ZP4_183_190.avi,./feature_dirs_training\0lh_UWF9ZP4_183_190.avi.npy
A girl is drinking.,229NvV0SRHw_0_5.avi,./feature_dirs_training\229NvV0SRHw_0_5.avi.npy
A chef blends a spicy marinade.,Sq7Vt6KC9Yg_17_35.avi,./feature_dirs_training\Sq7Vt6KC9Yg_17_35.avi.npy
A man is running.,a28s_wyqkyc_68_77.avi,./feature_dirs_training\a28s_wyqkyc_68_77.avi.npy
A cat touches a dog.,CTIKmoEigCI_3_30.avi,./feature_dirs_training\CTIKmoEigCI_3_30.avi.npy
A loris is swinging.,FHwC2THZJfA_0_10.avi,./feature_dirs_training\FHwC2THZJfA_0_10.avi.npy
A person cuts some paper.,s8utHZYTNTs_35_42.avi,./feature_dirs_training\s8utHZYTNTs_35_42.avi.npy
A woman sings.,nMBSDpB3WB8_5_14.avi,./feature_dirs_training\nMBSDpB3WB8_5_14.avi.npy
Zebras are playing.,vub04F8CWng_32_41.avi,./feature_dirs_training\vub04F8CWng_32_41.avi.npy
A gorilla is playing bongos.,7EOqi_6rnkg_36_44.avi,./feature_dirs_training\7EOqi_6rnkg_36_44.avi.npy
A boy bangs on the window.,AzMrltkXGJk_0_10.avi,./feature_dirs_training\AzMrltkXGJk_0_10.avi.npy
A woman is dancing.,gtixLEvO2Us_0_6.avi,./feature_dirs_training\gtixLEvO2Us_0_6.avi.npy
A man plays the guitar.,hoinj6vyQ2g_8_16.avi,./feature_dirs_training\hoinj6vyQ2g_8_16.avi.npy
A woman applies lipstick.,O9yLRzpPp44_167_190.avi,./feature_dirs_training\O9yLRzpPp44_167_190.avi.npy
A man playing drums.,Z3m9V8qPXhQ_13_24.avi,./feature_dirs_training\Z3m9V8qPXhQ_13_24.avi.npy
A man rode a motorcycle.,uO7Eysrs8_k_80_90.avi,./feature_dirs_training\uO7Eysrs8_k_80_90.avi.npy
A man dances.,dMH0bHeiRNg_3_14.avi,./feature_dirs_training\dMH0bHeiRNg_3_14.avi.npy
A man ties a noose.,MW21lp833Vo_143_149.avi,./feature_dirs_training\MW21lp833Vo_143_149.avi.npy
A chef is rolling dough.,jD4o_Lmy6bU_117_137.avi,./feature_dirs_training\jD4o_Lmy6bU_117_137.avi.npy
A cat is opening a box.,EA-J-Y6QjUo_40_61.avi,./feature_dirs_training\EA-J-Y6QjUo_40_61.avi.npy
Dough is being stirred.,5JSbxHECb-I_97_110.avi,./feature_dirs_training\5JSbxHECb-I_97_110.avi.npy
A man jumps over a table.,9BScZRpF7SI_31_36.avi,./feature_dirs_training\9BScZRpF7SI_31_36.avi.npy
A dog plays with a baby.,z0Si1XxMibg_0_30.avi,./feature_dirs_training\z0Si1XxMibg_0_30.avi.npy
A puppy is walking backwards.,yOnRm3TP6hM_0_12.avi,./feature_dirs_training\yOnRm3TP6hM_0_12.avi.npy
Steve Martin performs onstage.,dJCtOz32dnw_40_60.avi,./feature_dirs_training\dJCtOz32dnw_40_60.avi.npy
A man is turning foods.,Je3V7U5Ctj4_768_773.avi,./feature_dirs_training\Je3V7U5Ctj4_768_773.avi.npy
A boy calls another.,bDoCQEwghZU_201_211.avi,./feature_dirs_training\bDoCQEwghZU_201_211.avi.npy
A woman chops meat.,WTf5EgVY5uU_15_19.avi,./feature_dirs_training\WTf5EgVY5uU_15_19.avi.npy
A woman is writing.,dtwXtwJByYk_5_14.avi,./feature_dirs_training\dtwXtwJByYk_5_14.avi.npy
Fish are swimming.,sFExO_PW22s_10_18.avi,./feature_dirs_training\sFExO_PW22s_10_18.avi.npy
A squirrel dances.,puineN1UMto_25_29.avi,./feature_dirs_training\puineN1UMto_25_29.avi.npy
A man jumps and flips.,ulPvRmNfXK4_96_100.avi,./feature_dirs_training\ulPvRmNfXK4_96_100.avi.npy
A woman cuts vegetables.,kWLNZzuo3do_48_53.avi,./feature_dirs_training\kWLNZzuo3do_48_53.avi.npy
A cat meows.,Li3umATsU0E_1_5.avi,./feature_dirs_training\Li3umATsU0E_1_5.avi.npy
A man is adding sauce to pan.,UXs3eq68ZjE_49_54.avi,./feature_dirs_training\UXs3eq68ZjE_49_54.avi.npy
People are riding a bike.,rw9h_574HxE_70_74.avi,./feature_dirs_training\rw9h_574HxE_70_74.avi.npy
People are eating.,F44bLc6t7-I_1_8.avi,./feature_dirs_training\F44bLc6t7-I_1_8.avi.npy
Seasonings are being mixed.,bxjFqtfJlMs_18_27.avi,./feature_dirs_training\bxjFqtfJlMs_18_27.avi.npy
A man spills a drink on a camera.,D1tTBncIsm8_248_254.avi,./feature_dirs_training\D1tTBncIsm8_248_254.avi.npy
Noodles are boiling.,kWLNZzuo3do_262_270.avi,./feature_dirs_training\kWLNZzuo3do_262_270.avi.npy
A man cooks rice in a pan.,_WRC7HXBJpU_386_391.avi,./feature_dirs_training\_WRC7HXBJpU_386_391.avi.npy
A boy runs toward a tornado.,ZN2_czSBSD0_240_250.avi,./feature_dirs_training\ZN2_czSBSD0_240_250.avi.npy
Some otters are swimming.,Z3rj9LbCOaM_0_12.avi,./feature_dirs_training\Z3rj9LbCOaM_0_12.avi.npy
Someone is staning up.,Q-soOsOLIGQ_0_22.avi,./feature_dirs_training\Q-soOsOLIGQ_0_22.avi.npy
A man pours oil into a pot.,0hyZ__3YhZc_279_283.avi,./feature_dirs_training\0hyZ__3YhZc_279_283.avi.npy
A man caught a ball.,b_BuSVZwq6M_1_9.avi,./feature_dirs_training\b_BuSVZwq6M_1_9.avi.npy
A monkey climbs a statue.,FWzsXeXCwuc_106_110.avi,./feature_dirs_training\FWzsXeXCwuc_106_110.avi.npy
A man is burning matches.,9LOJmQQktHA_10_18.avi,./feature_dirs_training\9LOJmQQktHA_10_18.avi.npy
A man dances.,inLBPVG8oEU_18_24.avi,./feature_dirs_training\inLBPVG8oEU_18_24.avi.npy
A woman smokes.,NV6pq1W-I4g_7_16.avi,./feature_dirs_training\NV6pq1W-I4g_7_16.avi.npy
A boy is kissing in a mirror.,wzfkC2TjdeQ_0_31.avi,./feature_dirs_training\wzfkC2TjdeQ_0_31.avi.npy
A man is on a swing.,VZ6H73nH7xs_27_33.avi,./feature_dirs_training\VZ6H73nH7xs_27_33.avi.npy
A woman powders her face.,-joBOHlg5J0_72_80.avi,./feature_dirs_training\-joBOHlg5J0_72_80.avi.npy
Un homme plante un clou.,D1tTBncIsm8_681_688.avi,./feature_dirs_training\D1tTBncIsm8_681_688.avi.npy
The man talked to a puppet.,x_8RiVI6rH8_41_54.avi,./feature_dirs_training\x_8RiVI6rH8_41_54.avi.npy
Mail is being opened.,fX5G_JwPlLo_640_660.avi,./feature_dirs_training\fX5G_JwPlLo_640_660.avi.npy
A woman peels a potato.,_O9kWD8nuRU_70_76.avi,./feature_dirs_training\_O9kWD8nuRU_70_76.avi.npy
Two women are cooking.,NjblUomxFQo_100_108.avi,./feature_dirs_training\NjblUomxFQo_100_108.avi.npy
A man peels a banana.,nBJV56WUDng_38_47.avi,./feature_dirs_training\nBJV56WUDng_38_47.avi.npy
Somone cut a sock.,2I20ZTFHheg_96_104.avi,./feature_dirs_training\2I20ZTFHheg_96_104.avi.npy
A woman rides a horse.,u4kMN1jamdM_10_20.avi,./feature_dirs_training\u4kMN1jamdM_10_20.avi.npy
The cat is in the box.,unhiT2D6WvE_0_20.avi,./feature_dirs_training\unhiT2D6WvE_0_20.avi.npy
An onion is sliced.,ObBss94n3gI_35_46.avi,./feature_dirs_training\ObBss94n3gI_35_46.avi.npy
A man and woman are walking.,rw9h_574HxE_127_133.avi,./feature_dirs_training\rw9h_574HxE_127_133.avi.npy
a lady talking on the phone,EBWPZIjtnTM_1_6.avi,./feature_dirs_training\EBWPZIjtnTM_1_6.avi.npy
A dog plays with a duck.,ficwZQYmRLE_5_20.avi,./feature_dirs_training\ficwZQYmRLE_5_20.avi.npy
A man puts tomato sauce in a pot.,0hyZ__3YhZc_352_356.avi,./feature_dirs_training\0hyZ__3YhZc_352_356.avi.npy
The man is oiling the pan.,jPBxl9gFqNY_110_117.avi,./feature_dirs_training\jPBxl9gFqNY_110_117.avi.npy
A girl is signing.,Oq3FV_zdyy0_843_855.avi,./feature_dirs_training\Oq3FV_zdyy0_843_855.avi.npy
A man is cutting a shoe.,8PQiaurIiDM_143_151.avi,./feature_dirs_training\8PQiaurIiDM_143_151.avi.npy
A potato is peeled.,05gNigkqfNU_11_23.avi,./feature_dirs_training\05gNigkqfNU_11_23.avi.npy
An animal eats.,t4vP-cXXWkY_14_20.avi,./feature_dirs_training\t4vP-cXXWkY_14_20.avi.npy
A pencil is being sharpened.,EKL6elkbFy0_16_30.avi,./feature_dirs_training\EKL6elkbFy0_16_30.avi.npy
A man shoots a gun.,gnEE6oWoz7U_124_132.avi,./feature_dirs_training\gnEE6oWoz7U_124_132.avi.npy
A cook cuts carrots.,-_hbPLsZvvo_49_55.avi,./feature_dirs_training\-_hbPLsZvvo_49_55.avi.npy
The motorcyle rider did a trick.,AjZ-R3LFMzo_18_23.avi,./feature_dirs_training\AjZ-R3LFMzo_18_23.avi.npy
A woman cuts a tomato.,aeA-HN7BMdo_52_58.avi,./feature_dirs_training\aeA-HN7BMdo_52_58.avi.npy
A woman feeds a man food.,2YhDTpzxd3c_149_154.avi,./feature_dirs_training\2YhDTpzxd3c_149_154.avi.npy
A man is carrying lemur.,Zqmx-nXhLAg_0_10.avi,./feature_dirs_training\Zqmx-nXhLAg_0_10.avi.npy
Men are playing soccer.,Ffv7fhL1EDY_177_184.avi,./feature_dirs_training\Ffv7fhL1EDY_177_184.avi.npy
A man is cleaning a floor.,a-cek0mvXxE_15_25.avi,./feature_dirs_training\a-cek0mvXxE_15_25.avi.npy
A man stirs onions.,nq4hG6qgyPs_370_377.avi,./feature_dirs_training\nq4hG6qgyPs_370_377.avi.npy
A kangaroo is licking someone.,DLcuZ-HnHZc_0_10.avi,./feature_dirs_training\DLcuZ-HnHZc_0_10.avi.npy
A dog plays by the pool.,auFXfsCzAvQ_1_15.avi,./feature_dirs_training\auFXfsCzAvQ_1_15.avi.npy
A man talks on a phone.,MICawzo1MqI_3_13.avi,./feature_dirs_training\MICawzo1MqI_3_13.avi.npy
A singer sings.,HZqscSWtHmo_24_34.avi,./feature_dirs_training\HZqscSWtHmo_24_34.avi.npy
A man fires a rifle.,vloe_60s_dk_0_9.avi,./feature_dirs_training\vloe_60s_dk_0_9.avi.npy
A kid is drawing.,1dA1RQgPN3c_72_82.avi,./feature_dirs_training\1dA1RQgPN3c_72_82.avi.npy
A man cutting carrots.,yyxtyCaEVqk_250_264.avi,./feature_dirs_training\yyxtyCaEVqk_250_264.avi.npy
A man puts butter in a bowl.,lfGlDg47How_93_98.avi,./feature_dirs_training\lfGlDg47How_93_98.avi.npy
A woman picks up a lobster.,Xxcv5jvRmcg_39_46.avi,./feature_dirs_training\Xxcv5jvRmcg_39_46.avi.npy
A boy is dancing.,98shpdib9sg_55_62.avi,./feature_dirs_training\98shpdib9sg_55_62.avi.npy
Men are playing soccer.,VU4qLrk5axA_40_58.avi,./feature_dirs_training\VU4qLrk5axA_40_58.avi.npy
People are lined up to race.,16iNk1hLJt4_37_40.avi,./feature_dirs_training\16iNk1hLJt4_37_40.avi.npy
A woman is playing flute.,e-sf-hyrkTs_20_35.avi,./feature_dirs_training\e-sf-hyrkTs_20_35.avi.npy
A kid is singing.,wgrrQwLdME8_0_10.avi,./feature_dirs_training\wgrrQwLdME8_0_10.avi.npy
A person is frying a food.,eTnlw7v8ea0_36_50.avi,./feature_dirs_training\eTnlw7v8ea0_36_50.avi.npy
Two man are boxing.,25NmudB2fqg_0_7.avi,./feature_dirs_training\25NmudB2fqg_0_7.avi.npy
The man shot his gun.,4PayIIIOeIs_230_238.avi,./feature_dirs_training\4PayIIIOeIs_230_238.avi.npy
A man plays a guitar.,9IrWyZ0KZuk_160_166.avi,./feature_dirs_training\9IrWyZ0KZuk_160_166.avi.npy
Someone is measuring spices.,0hyZ__3YhZc_418_424.avi,./feature_dirs_training\0hyZ__3YhZc_418_424.avi.npy
Men are fighting.,CHFXTeQWXjo_206_212.avi,./feature_dirs_training\CHFXTeQWXjo_206_212.avi.npy
Someone is mixing ingrediants.,kWLNZzuo3do_206_213.avi,./feature_dirs_training\kWLNZzuo3do_206_213.avi.npy
A man is shooting a gun.,Y4BeJ-64294_20_30.avi,./feature_dirs_training\Y4BeJ-64294_20_30.avi.npy
A chef seasons some bacon.,rwHT2SuNOi8_240_255.avi,./feature_dirs_training\rwHT2SuNOi8_240_255.avi.npy
A man and woman shake hands.,s0hwEUC5emA_127_132.avi,./feature_dirs_training\s0hwEUC5emA_127_132.avi.npy
A pan is filled with water.,NjCqtzZ3OtU_62_67.avi,./feature_dirs_training\NjCqtzZ3OtU_62_67.avi.npy
A dog walks around.,77iDIp40m9E_3_9.avi,./feature_dirs_training\77iDIp40m9E_3_9.avi.npy
A man is smiling.,b97TK8XVLHE_40_50.avi,./feature_dirs_training\b97TK8XVLHE_40_50.avi.npy
Women are dancing.,VfqlfprZsaQ_75_85.avi,./feature_dirs_training\VfqlfprZsaQ_75_85.avi.npy
A woman plays a violin.,n2NLoLNecgI_168_178.avi,./feature_dirs_training\n2NLoLNecgI_168_178.avi.npy
A girl is riding a horse.,WV9K6MbLjHA_106_116.avi,./feature_dirs_training\WV9K6MbLjHA_106_116.avi.npy
Someone is stuffing rice.,ACOmKiJDkA4_161_170.avi,./feature_dirs_training\ACOmKiJDkA4_161_170.avi.npy
A chef pours broth into a pot.,KPPCwmU5OHQ_227_238.avi,./feature_dirs_training\KPPCwmU5OHQ_227_238.avi.npy
The lady flipped a knife around.,xSmfK498DjI_1_20.avi,./feature_dirs_training\xSmfK498DjI_1_20.avi.npy
A cow eating hay.,WqwcWk1In_g_46_54.avi,./feature_dirs_training\WqwcWk1In_g_46_54.avi.npy
People are dancing.,gqxpGOHUH9k_113_119.avi,./feature_dirs_training\gqxpGOHUH9k_113_119.avi.npy
A woman seasons vegetables.,UbmZAe5u5FI_26_33.avi,./feature_dirs_training\UbmZAe5u5FI_26_33.avi.npy
The dog is on the bed.,tzd3AYTZq0U_0_6.avi,./feature_dirs_training\tzd3AYTZq0U_0_6.avi.npy
A dog biting on a can.,MWvCcwTw7Ac_154_181.avi,./feature_dirs_training\MWvCcwTw7Ac_154_181.avi.npy
A man cuts some meat.,KPPCwmU5OHQ_424_430.avi,./feature_dirs_training\KPPCwmU5OHQ_424_430.avi.npy
A woman rides a horse.,zTn-nNj5Bng_61_77.avi,./feature_dirs_training\zTn-nNj5Bng_61_77.avi.npy
A man is typing.,xy9LLUUZ6ic_50_60.avi,./feature_dirs_training\xy9LLUUZ6ic_50_60.avi.npy
A man puts pasta on a plate.,8MVo7fje_oE_153_158.avi,./feature_dirs_training\8MVo7fje_oE_153_158.avi.npy
A man is bleeding.,FTh5zPk34bQ_16_30.avi,./feature_dirs_training\FTh5zPk34bQ_16_30.avi.npy
Eggs are cooked.,mbesJaS6vwg_187_195.avi,./feature_dirs_training\mbesJaS6vwg_187_195.avi.npy
A fish is being grilled.,UbmZAe5u5FI_111_115.avi,./feature_dirs_training\UbmZAe5u5FI_111_115.avi.npy
A man is lifting a car.,qvg9eM4Hmzk_1_9.avi,./feature_dirs_training\qvg9eM4Hmzk_1_9.avi.npy
A man is wiping off another man.,vulNlhUI6m0_7_27.avi,./feature_dirs_training\vulNlhUI6m0_7_27.avi.npy
Boys are driving a car.,urXDqw3S34I_12_17.avi,./feature_dirs_training\urXDqw3S34I_12_17.avi.npy
Ferrets are in a cage.,OVEe1DMsOq0_43_52.avi,./feature_dirs_training\OVEe1DMsOq0_43_52.avi.npy
A person skins chicken.,9Q0JfdP36kI_19_27.avi,./feature_dirs_training\9Q0JfdP36kI_19_27.avi.npy
A guy is slicing food.,J4otiwOjQy8_98_112.avi,./feature_dirs_training\J4otiwOjQy8_98_112.avi.npy
A cat is playing.,7d1d2WlEnKs_0_12.avi,./feature_dirs_training\7d1d2WlEnKs_0_12.avi.npy
An otter is sliding on ice.,mF6ijhSrbBQ_32_40.avi,./feature_dirs_training\mF6ijhSrbBQ_32_40.avi.npy
A person cuts ribs.,nZSFn51l3hc_480_485.avi,./feature_dirs_training\nZSFn51l3hc_480_485.avi.npy
A person is mixing a pot.,0hyZ__3YhZc_485_490.avi,./feature_dirs_training\0hyZ__3YhZc_485_490.avi.npy
Chicken is being season.,uxEhH6MPH28_69_85.avi,./feature_dirs_training\uxEhH6MPH28_69_85.avi.npy
A man shot at a target.,ri5AyXzxb4o_201_215.avi,./feature_dirs_training\ri5AyXzxb4o_201_215.avi.npy
A panda climbs up a step.,ysTmUTQ5wZE_17_45.avi,./feature_dirs_training\ysTmUTQ5wZE_17_45.avi.npy
A person fries cantaloupe.,qeKX-N1nKiM_133_142.avi,./feature_dirs_training\qeKX-N1nKiM_133_142.avi.npy
A person is frying food.,kWLNZzuo3do_251_260.avi,./feature_dirs_training\kWLNZzuo3do_251_260.avi.npy
A man is windsurfing.,4lXdVS697DQ_10_25.avi,./feature_dirs_training\4lXdVS697DQ_10_25.avi.npy
Two men run along the beach.,Kf8oZGHDTt4_4_13.avi,./feature_dirs_training\Kf8oZGHDTt4_4_13.avi.npy
A horse stands up.,lvFYUmDSOvU_34_38.avi,./feature_dirs_training\lvFYUmDSOvU_34_38.avi.npy
A man plays a flute.,crfrKqFp0Zg_15_25.avi,./feature_dirs_training\crfrKqFp0Zg_15_25.avi.npy
A chef fries some meat.,6t0BpjwYKco_261_284.avi,./feature_dirs_training\6t0BpjwYKco_261_284.avi.npy
A cat scratches a wall.,0SMOK2ql7Pg_5_12.avi,./feature_dirs_training\0SMOK2ql7Pg_5_12.avi.npy
A girl is bathing.,88DOMJ11q2M_34_43.avi,./feature_dirs_training\88DOMJ11q2M_34_43.avi.npy
Peoples are cleaning house.,4_WZN7uW0NY_140_145.avi,./feature_dirs_training\4_WZN7uW0NY_140_145.avi.npy
A man is crashing his bike.,uO7Eysrs8_k_106_114.avi,./feature_dirs_training\uO7Eysrs8_k_106_114.avi.npy
Two men are talking.,bmOy6p87TWI_26_35.avi,./feature_dirs_training\bmOy6p87TWI_26_35.avi.npy
A woman slices an onion.,aeA-HN7BMdo_16_33.avi,./feature_dirs_training\aeA-HN7BMdo_16_33.avi.npy
A woman is exercising.,BR4yQFZK9YM_101_110.avi,./feature_dirs_training\BR4yQFZK9YM_101_110.avi.npy
A monkey delivers a drink.,KeSQ5Rv7eH8_73_79.avi,./feature_dirs_training\KeSQ5Rv7eH8_73_79.avi.npy
People snowboarding.,nCtZFOYAlvQ_44_49.avi,./feature_dirs_training\nCtZFOYAlvQ_44_49.avi.npy
A man rides a horse.,wFPmKChNrhU_3_11.avi,./feature_dirs_training\wFPmKChNrhU_3_11.avi.npy
A chef cuts beef.,y8SDRc4IOjs_94_99.avi,./feature_dirs_training\y8SDRc4IOjs_94_99.avi.npy
A boy plays a flute.,d_BWuttLRFM_42_52.avi,./feature_dirs_training\d_BWuttLRFM_42_52.avi.npy
A man cuts up food.,veE0E79dEEc_18_45.avi,./feature_dirs_training\veE0E79dEEc_18_45.avi.npy
People are playing music.,M_TP6UTrh30_343_358.avi,./feature_dirs_training\M_TP6UTrh30_343_358.avi.npy
A kid is running.,NVGGgncVq-4_111_117.avi,./feature_dirs_training\NVGGgncVq-4_111_117.avi.npy
A boy is climbing.,o_mWZWcm2r4_10_15.avi,./feature_dirs_training\o_mWZWcm2r4_10_15.avi.npy
A man,2YhDTpzxd3c_240_245.avi,./feature_dirs_training\2YhDTpzxd3c_240_245.avi.npy
A monkey is kickboxing.,77iDIp40m9E_159_181.avi,./feature_dirs_training\77iDIp40m9E_159_181.avi.npy
A man crys.,6ZhKOK08tgM_225_233.avi,./feature_dirs_training\6ZhKOK08tgM_225_233.avi.npy
A car is hitting a bike.,4wT7zM8XgXQ_5_11.avi,./feature_dirs_training\4wT7zM8XgXQ_5_11.avi.npy
A man talks.,f9_bP219ehQ_63_70.avi,./feature_dirs_training\f9_bP219ehQ_63_70.avi.npy
A man pours water into a pot.,0hyZ__3YhZc_380_384.avi,./feature_dirs_training\0hyZ__3YhZc_380_384.avi.npy
Someone is drilling a hole.,me1D1WZ0yNM_120_124.avi,./feature_dirs_training\me1D1WZ0yNM_120_124.avi.npy
A woman is singing.,ItFqogTmAvQ_281_286.avi,./feature_dirs_training\ItFqogTmAvQ_281_286.avi.npy
People are dancing.,kRNHJSc4AXE_220_228.avi,./feature_dirs_training\kRNHJSc4AXE_220_228.avi.npy
A man does push-ups.,JXSkYkiKO0I_42_46.avi,./feature_dirs_training\JXSkYkiKO0I_42_46.avi.npy
A man eats a banana.,z_qf7tOnHVg_81_89.avi,./feature_dirs_training\z_qf7tOnHVg_81_89.avi.npy
A woman climbs a wall.,m1c04pCYGxA_57_64.avi,./feature_dirs_training\m1c04pCYGxA_57_64.avi.npy
A man cuts up cucumber.,kquB3rIgfGk_525_532.avi,./feature_dirs_training\kquB3rIgfGk_525_532.avi.npy
A man catches a ball.,giLxPCgLLqg_9_19.avi,./feature_dirs_training\giLxPCgLLqg_9_19.avi.npy
A woman slices tofu.,IhwPQL9dFYc_130_136.avi,./feature_dirs_training\IhwPQL9dFYc_130_136.avi.npy
a man is drinking a water.,L6dEUQ6WiHY_171_186.avi,./feature_dirs_training\L6dEUQ6WiHY_171_186.avi.npy
A man mixes flour and water.,5U3xz9Ovmhk_9_15.avi,./feature_dirs_training\5U3xz9Ovmhk_9_15.avi.npy
A girl talks to a dog.,jcRCn7MeSbo_71_82.avi,./feature_dirs_training\jcRCn7MeSbo_71_82.avi.npy
A man drinks water.,9gbUM9oHBNI_557_563.avi,./feature_dirs_training\9gbUM9oHBNI_557_563.avi.npy
Elephants are walking.,gtIz1u8g1F0_3_13.avi,./feature_dirs_training\gtIz1u8g1F0_3_13.avi.npy
A person is displaying a card.,8yuPGwxwdPs_1_10.avi,./feature_dirs_training\8yuPGwxwdPs_1_10.avi.npy
The man buttered the bread.,IpHJffM3G1c_439_446.avi,./feature_dirs_training\IpHJffM3G1c_439_446.avi.npy
A woman talks.,_JVxurtGIhI_32_42.avi,./feature_dirs_training\_JVxurtGIhI_32_42.avi.npy
Food is sliced.,VahnQw2gTQY_315_320.avi,./feature_dirs_training\VahnQw2gTQY_315_320.avi.npy
A man is skateboarding.,e4QGnppJ-ys_6_14.avi,./feature_dirs_training\e4QGnppJ-ys_6_14.avi.npy
A baby tiger is playing.,UqBafx3iRKw_22_29.avi,./feature_dirs_training\UqBafx3iRKw_22_29.avi.npy
A chef stacks his food.,u9E9HpuJQ7U_29_43.avi,./feature_dirs_training\u9E9HpuJQ7U_29_43.avi.npy
A band is performing.,IiTzJQE67FA_36_46.avi,./feature_dirs_training\IiTzJQE67FA_36_46.avi.npy
A dragon moving in a room,aK8liAv-28s_72_82.avi,./feature_dirs_training\aK8liAv-28s_72_82.avi.npy
